Date,Company,Count
May-22,SUMCO,6
Apr-22,SUMCO,7
Mar-22,SUMCO,9
Feb-22,SUMCO,5
Jan-22,SUMCO,3
Dec-21,SUMCO,1
Nov-21,SUMCO,10
Oct-21,SUMCO,55
